Từ	Nghĩa
Hjiê (dt)	Kho (kho để thóc). Sang kâo mâo sa boh hjiê: Nhà tôi có một nhà kho.
Hla in jin (dt)	Lá bài.
Hla kơ (dt)	Lá cờ.
Hla kơ ala čar (dt)	Quốc kyoå.
Hla knih (dt)	Cây chổi.
Hlai (tt)	Nguôi. Hlai ai: Nguôi giận.
Hlăk anăn (trgt)	Bấy giờ
Hling (dt)	Gỗ mun.
Hlĭm (dt)	Mưa dầm. Adiê hlyøm: Trời mưa dầm.
Hlĭn (dt)	Sáp ong.
Hlĭng (dt)	Rót. Hlyøng êa: Rót nước.
Hlŏng (đgt) 	I.(dt) tên một cái cồng trong bộ cồng êđê.
	Ii.(phụ từ) 1.chí
	2. Luôn thể. Blu\t hriê hlo\ng hua\ yơh: Tiện thể đến đây hãy ăn cơm luôn thể.
Hlô (dt)	Thuô (con thuô). Di yûu mnah hlô: Chuông nó băn thuô.
Hlô mnơ̆ng (dt)	Thuô vật.
Hlông (đgt) 	Tạo ra
Hlua (đgt)	Dội
Hluăt (dt)	Con sâu.  
Hluê (tt)	1. Lỏng
	2. Theo
Hluh (tt)	Thủng.
Hmum (tt)	Lành (không rách). Hla hmum hlum hla tyø: Lá lành đùm lá rách.
Hlung (đgt)	Bợ
Hluôm (tt)	Nguyên hạt
Hlŭ (lŭ) (dt)	Bùn.
Hlŭl (tt)	Tăc
Hlŭn (dt)	Nô lệ
Hlŭt (đgt)	1. Dốc đầu xuống.
	2. Liều
Hlư̆ (đgt)	Đẩy ra.
Hma (dt)	Róy. Nao hma: đi róy.
Hmang (dt)	Cái khay đựng cheôn bát.
Hmăm (dt)	Chậu thau. 
Hmăng(đgt)	Ngóng
Hmăng hmưi (đgt)	Cầu mong
Hmăr (đgt)	Mau
Hmăt (đgt)	Quất
Hmei (đại từ)	Chuông tôi (ngôi thứ nhất số ít). Hmei dua: Hai chuông tôi.
Hmiêt mkăp	Săôïn sàng.
Hmlei (dt)	Bông xơ
Hmô (đgt)	Cho ví dụ
Hmôk (dt)	Vỏ cây.
Hmrot (tt)	Lẻ loi
Hmrui (dt)	Trầm bầu.
Hmưč (đgt)	Khấn hứa với thần.
Hmư̆ (đgt)	Nghe. 
Hmưi (đgt)	Cầu mong
Hna (dt)	Ná
Hnač (tt)	Dai.
Hnăl (dt)	Cái đệm.
Hnăn (đt)	Vậy. Hnăn lah: Vậy đó.
Hnăr (đt)	Trườn. EYÕ điêt thâo hnăr leh: Em beô biết trườn rồi.
Hnê̆č (đgt)	Tranh thủ.
Hngah (đgt)	Từ chối.
Hngam ram (tt)	Vị ngọt nhân nhấn đăng của rượu ngon.
Hngăn (dt)	Quả dâu đất.
Hngăp (tt)	Băôïng
Hngăp êyăng, hngăp hngơr	 
Hngŭt hngui (tt)	Sa sầm
Hngô (dt)	Cây thông. Đang hngô: đồi thông.
Hnĭng (đgt)	Nhớ.
Hnoh (dt)	Khe
Hnô (tt)	1. Heãnh bầu dục.
	2. Đền bù.
Hnơ̆ng (dt)	1. Mức độ. Djo\ hnơ\ng: đuông mức.
	2. Hnơ\ng êlan: Hệ thống.
	3. Hnơ\ng mâo hriăm: Treãnh độ văn hĩa.
Hnuă (gt)	Bên phải.
Hnuăt (dt)	Cái roi.
Hnuê (dt)	Ong mật.
Hnun (dt)	Tã lót.
Hnuh (dt)	Cùm. Hnuh klo\ng: Gông cùm.
Hnui (dt)	Trễ
Hnuôr (dt)	Khuôc cây đã hạ xuống trên róy.
Hnŭk (tt)	Yên. Hnu\k ênang: Beãnh yên.
Hnưm (tt)	Sớm (mùa màng).
Hoh (phụ từ)	Đây
Hŏ (phụ từ)	Nheô
Hŏk (đgt)	Đỗ
Hŏng	I. (tt) 1.trống (trống trãi).
	2. Băôûng. Nhà làm băôûng gỗ: Sang nga\ ho\ng kyâo.
	Ii. (giới từ) với. Ho\ng ih hria\m? Anh học với ai?.
Hŏ kdŏng (tt)	Trống rỗng.
Hô (tt)	Thiếu
Hôč (đgt)	Huyôt sáo.
Hôk (dt)	Đơn vị đo chiều dài từ nách cho hết bàn tay duỗi thẳng.
Hông (dt)	Ong vò vẽ.
Hô̆(dt)	Thuyền.
Hơ hơp (tt)	Toang. Ba\ng bha\ po\k hơ hơp. Cánh cửa mở toang.
Hơi (phụ từ)	Này
Hơr (đgt)	Hơ. Hơr pui: Hơ lửa.
Hơ̆k (tt)	Vui.
Hra (dt)	Muối. 
Hrah (tt)	Đỏ.  
Hrah mda (tt)	Màu hồng. 
Hrai (đgt)	Rải
Hră (dt)	Giấy. Hra\ Kkiêng: Giấy khai sinh.
Hră m’ar (dt)	Giấy tờ.
Hrač (dt)	1. Gỗ dầu.
	2. (đgt): Tuốt (luôa).
Hrăm (hư từ)	Cùng. Nao hrăm: đi cùng.
Hrăng (đgt)	Nai nịt. Hra\ng k’iêng: Nịt lưng.
Hrăp (tt)	No
Hrĕ roh (đgt)	Phát dọn beãa róy.
Hri (đgt)	Mô phỏng tiếng ve kêu.
Hriăm (đgt)	Học. Hriăm hră: Học hành.
Hriê (đgt)	Đến. Hriê ti anei: đến đây.
Hriê kơ mdrŏng	Đang giàu lên.
Hriêl (dt)	Bùa
Hriêng (dt) 	Aõaén dụ. Bu\ bi hriêng: nói ẩn dụ.
Hriêt (tt)	Æt
Hrih (đgt) 	Làm pheôp.
Hrip (đgt)	Hít. 
Hrĭl (dt)	Con keôt mỏ đỏ (giống con vẹt).
Hrŏ (đgt)	Giảm. Hro\  kyø: Giảm cân.
Hrŏng  (tt)	1. Hớt
	2. Lựa
Hrŏng  kƀĭn (đgt)	Tổng kết.
Hrô 	I.(đt) cái then.
	Ii.(đgt) 1.thay thế. 
	            2. Xâu
Hrôk (dt)	Cái đó (để băt cá) .
Hrông (tt)	1. Hoang. Lăn hrông: đất hoang.
	2. Nguyên vẹn.
Hrơ̆ng (đgt)	Cheôm. Hrơ\ng mgăn: cheôm ngang.
Hruê (dt)	Ngày.  
Hrua = hrô (đgt)	Thay thế.
Hruê̆ (dt)  	Cây thân dây
Hruh (dt)	1. Eøaé
	2. Bao
Hrui (đgt)	Thu về.
Hrut (đgt)	Co ruôt.
Hrut lăn (đgt)	Hít đất.
Hua (đgt)	Keôo lê.
Huă (đgt)	Aûn (ăn cơm).
Huăk (đgt)	Móc
Huăn (tt)	Khít. Hua\n mdua\n: Vừa khẳm
Huĭ (đgt)	Sợ.
Huĭ dah (đgt)	E răôûng.
Huič (đgt) 	 Huôp.
Hung, hung hang (đgt) 	Háo
Hung hang (tt)	Bất kham
Hur har (tt)	Nhiệt teãnh.
Hŭl (đgt)	Hấp hơi; Hấp cách thủy
Hŭt (tt)	Trật
Hưn (đgt)	Báo cáo.
Hưn akâo (đgt)	Đăng kyô.
Hưn mdah (đgt)	Giới thiệu. Hưn mdah klei soh: Thuô tội.
Hưn mthâo (đgt)	Thông báo.
Hưn phong (đgt)	Khoe khoang.
Hưp (đgt)	Ham. Hưp mdro\ng: ham giàu.
Hưt (tt)	Mát
Hwa (dt)	Vượn.
Hwak (đgt). Nh. Êwak	Vác.
Hwar (đgt)	Cào thành đống. Giê hwar: Cái cào.
Hwăt (đgt)	Lịm
Hwiă (đgt)	Thăt (dây thăt lưng)
Hwiê	I.(dt) mây
	Ii. (đgt) liệng đi
Hwiêt (đgt)	Teôm (tóc). GYØ hwiêt: Chải teôm.
Hyuă (đgt)	Chăôûng
Hyưt (tt)	Lo sợ.
H’aĭ(tt)	Không. Mrô h’ayø: Số (không).
H’ aĭ mang	Không có geã.
H’ ap (đgt)	Ngáp.
H’ ăp (tt)	Aõaém.
H’ ê̆č hmưi (đgt)	Chuôc mừng.
H’ iêng (đgt)	I. (đgt) cưng
  	Ii. (tt) quyô. Thâo h’iêng mnơ\ng yua: biết quyô đồ dùng.
H’ ĭt (đgt)	Yên tâm.
H’ô (đgt)	Mặc (áo).
H’ôk (đgt)	Đành lòng. Amâo h’ ôk dôk ôh. Không đành lòng ở lại.
H’ua (đgt)	Cà vào
H’uôn (đgt)	Thương yêu
H’ưi (đgt)	Thương tiếc.
	 
I	 
	 
Iăm (đgt)	Mô phỏng tiếng ve kêu.
I- ăk riăk (đgt)	Khuôc khích.
Iê (dt)	Anh rễ; chị dâu (nói chung).
Iê êkei (dt)	Anh rể.
Iê mniê (dt)	Chị dâu.
Iêp (đgt)	Gheô
Iêu (đgt)	Gọi. 
Iêu anăn (đgt)	Điểm danh. Kâo iêu anăn: tôi điểm danh.
Iêu jak (đgt)	Rủ rê.
Iêu mthưr (đgt)	Kêu gọi.
Iêu ung (đgt)	Rước rể (rước rể theo phong tục của người Êđê).
Ih (đại từ)	Anh
Ik ik (đgt)	Nài nỉ.
Ik rik	Lâm râm. 
Im (đgt)	Yểm (bùa). Mtâo im: Bị yểm bùa.
In (đgt)	Chơi.
In an (đgt)	Dựa sát vào người khác.
Injin (dt)	Cờ bạc.  
Ing ba k’ông	Rập reãnh (mô phỏng tiếng chiêng trống)
Ing tlam	Chạng vạng.
Iu (tt)	Thiu
Iŭ (đgt)	Thổi
	 
I	 
	 
I (dt)	Sơ sinh. Anak YØ: Trẻ sơ sinh.
Ir ĭr (tt)	Rừng rực (lửa cháy)
It uôt (tt)	Lề mề. Aáu yøt uôt êdi: Nó rất lề mề.
	 
J	 
	 
Jač (đgt)	Neôm. Ja] ]hiên mngan: Neôm cheôn bát.
Jah (đgt)	Phát. Jah rơ\k: Phát cỏ
Jak (đgt)	Mời
Jăk (tt)	1. Tốt
	2. Hay. Klei mmuyû hmư\ jăk: Bài hát này nghe hay.
Jam (dt)	Đĩa (để thức ăn). Dưm [e#yû hlăm jam: để bánh trong đĩa. 
Jang (tt)	Nhường. Kâo jang kơ ih: Tôi nhường cho anh.
Jao (đgt)	Giao. Jao bruă: Giao việc. 
Jar (dt)	Khung. Jar sang: Khung nhà. 
Jĕ (tt)	Gần. Sang kâo je\ sang hră: Nhà tôi gần trường học.
Jê (đgt)	Giăôûm. Jê tro\ng: Giăôûm cà.
Jê̆č (tt)	Vội. Kâo hlăk  je#]: Tôi đang vội.
Jê̆ñ (pht)	Thường xuyên. Aáu je#YÛ ]uă amyø ama: Nó thường xuyên thăm cha mẹ.
Jet jot (tt)	Xiêu vẹo. Sang jet jot: Nhà xiêu vẹo.
Jhar pui (đgt)	Bỏ thêm củi vào bếp.  
Jhat (tt)	Hỏng
Jheh jhoh (tt)	Chồm hỗm.  
Jhĭt (đgt)	Khâu. Amyø jhyøt ao: Mẹ khâu áo.
Jhô (đgt)	Luồn
Jhŏng (tt)	Dữ. Aáu ngă jho\ng : Nó làm dữ.
Jhut jhut (tt)	Treã trệ. Mă bruă jhut jhut  êdi: Làm thật treã trệ.
Jhŭk jhŭk (tt)	Hùng dũng. }huang êbat jhu\k jhu\k: Bước đi hùng dũng.
Jhưng (dt)	Giường
Jia (dt)	Thuế. Nao hrui jia: đi thu thuế.
Jiă	I.(tt) 1.nhiễm. Eùa jiă ]ho\: nước nhiễm bẩn. 
	 
	Ii. (đgt) nheôt. Jiă hăt hlăm đyøng hăt: nheôt thuốc vào tẩu thuốc.
Jiăng (tt)	Bạn bè trai thân nhau (gọi là jiăng). Y- Tin jing jiăng kâo: Y - Tin là bạn thân của tôi.
Jiêk (đgt)	Nheôt. Jiêk hlăm bai: Nheôt vào giỏ.
Jih (đgt)	Hết. Jih braih leh: Hết gạo rồi.
Jih jang (đt)	Tất cả.
Jik (đgt)	Làm
Jing 	I. (đgt) là. Aáu jing sa ]ô knuă druh knhâo: nó là một cán bộ giỏi. 
	 
Jĭng jai (tt)	Tạm thời. Kâo mă bruă jyøng jai ti anei: Tôi làm việc ở đây tạm thời. 
Jip jap (tt)	Nhếch nhác. Pưk sang jip jap: Nhà cửa nhếch nhác.
Joh (đgt)	Góy. Joh êgei: Góy răng.
Jông (dt)	Buôa (bổ củi). Jông blah djuh: Buôa bổ củi.
Jơ̆ng (dt)	Chân. Jơ\ng kngan: Chân tay.  
Jŭ (tt)	Đen. Ju\ ao: aoûo đen. 
Juă (đgt)	Đạp. Juă djo\ jơ\ng: đạp truông chân. 
Juăt (pht)	Quen. Kâo juăt huă kngan điâo: Tôi quen ăn tay trái. 
Juê (dt)	Lõi (lõi chuối). {ơ\ng juê mtei: aûn lõi chuối.  
Juh (đgt)	Dỗ. Juh adei: Dỗ em. 
Juh lia (đgt)	An ủi.  Juh lia aduôn: An ủi bà.
Juh alum (đgt)	Dỗ dành. Juh alum anak: Dỗ dành con.
Juih (dt)	Cái chĩa (đâm cá). Juih tlo\ kan: Cái chĩa đâm cá.
Juk tô (dt)	Bạn nữ thân thiết nhau (gọi nhau là Juk tô). H’ Tim jing juk tô kâo: H’ Tim là bạn thân của tôi.
Jŭm dar (tt)	Xung quanh. Ju\m dar sang hră mâo mnư\: Xung quanh trường có hàng rào.
Jung (đgt)	Deãu. Amiêt jung aê đyø kơ sang: Chuô deãu ông lên nhà.
Jur (đgt)	Rót (từ ống
	 
K	 
	 
Ka (pt)	Chưa. Kâo kă huă: Tôi chưa ăn.
Kă (đgt)	Buộc. Ayo\ng kă êmô hlăm war: Anh buộc con bò trong chuồng.
Kač (đgt)	Khăc vẽ. Amai kâo thâo ka]: Chị tôi biết khăc vẽ.
Kah (đgt)	Chia rẽ .  
Kah mbha (đgt)	Phân chia. Kah mbha kah mbha braih: Phân chia gạo.
Kahan (dt)	Lính
Kahan ƀuôn (dt)	Dân quân tự vệ. Ayo\ng kâo ngă kahan [uôn: Anh tôi làm dân quân tự vệ.
Kahan roh (dt)	Quân giặc
Kai (đgt)	Cày. Ama nao kai lo\: Bố đi cày ruộng.
Kaih (dt)	Vảy. Kaih kan: Vảy cá.
Kak (dt)	Chứng minh nhân dân. Hră kak: Giấy CMND.
Kal (đgt)	Cài. Kal [ăng bhă: Cài cửa.
Kam (dt)	Trấu.  
Kan(dt)	Cá. Kan bư: Cá quả. Kan êa ksyø: Cá biển. Kan ngư: Cá ngừ. Kan mtah: Cá tươi. Kan krô: Cá khô.
Kang (dt)	Căôûm. Mlâo kang: Râu căôûm.
Kar	I.(dt) ca. Kar tuah êa: ca muôc nước.
	Ii.(đgt) lọc. Kar êa: lọc nước.
Kar kak (dt)	Đế quốc. 
Kăl sŏng (dt) (Pr)	Quần đùi.
Kăm (đgt)	1. Kiêng. Ruă êhu\ng kăm [ơ\ng amre#]: đau dạ dày kiêng ăn ớt.
                                 	2. Cấm. Kăm amâo dưi lua mnah hlô mnơ\ng: Cấm không được săn băn thuô rừng.
Kăm ênoh (đgt)	Định giá. Kâo kăm ênoh kơ êmô anei: tôi đã định giá cho con bò này.
Kăn 	Không. Aáu amâo nao kâo kăn nao: Nó không đi tôi cũng không đi.
Kăp ƀŭk (đgt)	Căt tóc. Ama thâo kăp [u\k: Bố biết căt tóc.
Kăp (đgt)	Đón lõng. Arăng kăp mă phung tle\: người ta đón lõng băt bọn ăn trộm.
Kăp dlăng (đgt)	Để xem. Kăp dlăng si yûu ngă?: để xem nó làm thế nào?
Kâo (đt)	Tôi (ngôi thứ nhất số ít). Kâo dôk kơ sang: Tôi ở nhà.
Kba (tt)	Nhạt. Kpiê ]eh anei kba leh: Rượu cần này nhạt rồi.
Kban (dt)	Cái cầu. Kban găn êa krông: Cái cầu vượt sông.
Kbao (dt)	Con trâu.  
Kbâo (dt)	Mía.  
Kbhoh (tt)	Bọt.  
Kbiă (đgt)	Ra. Kbiă ti êngao: Ra ngịi.
Kbin (dt)	Cái chõ. 
Kblăm, kbluôm (đgt)	Nuốt chửng.  
Kbruč (tt)	Tíc. Kdô kphê kbru]: Bao cà phê bị tíc.
Kbŭm (đgt)	Ngậm. Kbu\m êsei: Ngậm cơm.
Kbŭm ênah	Mưng mủ. Anôk êka kbu\m ênah: Vết thương bị mưng mủ (căng mủ).
Kbuôn (dt)	Đồi. Kbuôn hlang: đồi tranh.
Kbưi (tt)	Xa. Aáu nao kbưi leh: Nó đã đi xa.
Kƀah (tt)	Thiếu. K[ah êsei huă: Thiếu cơm ăn; K[ah klei thâo: Thiếu sự hiểu biết.
Kƀăk (đgt)	Treo (măc vào). K[ăk ao ti ktai: Treo áo trên sào.
Kƀăt (tt)	Xinh đẹp.
Kƀao (dt)	Cái bào.  
Kƀeh (đgt)	1. Lể. K[eh êruê: Lể gai.
                                  	2. Mẻ. }hiên k[eh: Cheôn mẻ.
Kƀei (dt)	Cái bay.  
Kƀê̆ñ (đgt)	Rèn. K[e#n wăng: Rèn cuốc.
Kƀiêk ală (dt)	Khóe  măt.  
Kƀĭn (đgt)	Họp
Kƀla (tt)	Nhát. Asâo mrâo ba wyøt kơ sang adôk k[la snăk: Con chó 
	Mới mang về nhà còn nhát lăm.
Kƀôč (dt)	1. Duôm. Sa k[ô] braih: Một duôm gạo.
	2. Mỏ (gà
Kƀu (dt)	Xà phòng.
Kƀuê (dt)	Môi. K[uê mia êa hrah: Môi đánh son (môi son).
Kƀut (đgt)	Vun. Bi k[ut sa byøt: Vun một chỗ.
Kčah (đgt)	Hẹn. K]ah hruê tuôm: Hẹn ngày gặp.
Kčaĭ (đgt)	Băn tung tóe; eùa k]ayø: Nước băn tung tóe.
Kčăt (đgt)	Nheôo.  
Kčeh (đgt)	Nở (trứng nở ra con). Mnu\ krăm boh k]eh êđai leh: Gà ấp trứng nở con rồi.
Kčĕ bruă (đgt)	Tham mưu
Kčĭk (dt)	Cẳm xe. Ana k]ik jing kyâo yuôm: Căûm xe là loại gỗ quyô.
Kčoh (đgt)	1. May. K]oh ao: May áo. 
	2. Băm. K]oh ]yøm u\n: Băm thịt heo.
Kčŏ (dt)	Chấm. Gru k]o\: Dấu chấm; Gru k]o\ êmuh: Dấu chấm hỏi.
Kčuh (đgt)	Nhổ. K]uh êa bah: Nhổ nước miếng.
Kčŭng kčê̆ñ (tt)	Nhăn nheo.
Kčưm (đgt)	Mở đầu. K]ưm klei blu\: Lời mở đầu.
Kčŭt (đgt)	Chọc
Kčŭt kđi (đgt)	Khiếu kiện. Arăng bi k]u\t kđi: Người ta khiếu kiện nhau.
Kdaih (đgt)	Rành. Blu\ kdaih klei Êđê: Nói rành tiếng Êđê.
Kdăt (đgt)	Nhảy. Kdăt klei: Nhảy dây; Kdăt dlông: Nhảy cao.
Kdê (tt)	Co ruôm lại. Anôk lu mnuih yûu kdê he\: Nơi đông người nó co ruôm lại.
Kdlăk (đgt)	Sặc (sặc sụa).
Kdloh (đgt)	Tuột.  Wăng kdloh: Cuốc bị tuột ra.
Kdô (dt)	Tuôi. Kdô ao: Tuôi áo
Kdŏ (đgt)	Muôa.
Kdơ̆ng blah (đgt)	Kháng chiến. Klei kdơ\ng blah Mi: Cuộc kháng chiến chống Myoä.
Kdơ̆ng wĭt (đgt)	Chống trả. Kdơ\ng wyøt ho\ng phung roh: Chống trả bọn giặc.
Kdŭn (đgt)	Lùi. 
Kdrăn bi mblah (dt)	Chiến trường. Kdrăn bi mblah ti lăn dăp kngư: Chiến trường Tây Nguyên.
Kdrăn (dt)	Bãi. Kdrăn rơ\k: Bãi cỏ.
Kdưt (đgt)	Nhảy cóc (bỏ qua).  
Kdrăp (dt)	Trang phục; Kdrăp m’iêng ao Êđê: Trang phục váy áo Êđê.
Kdrê̆č (dt)	Đoạn
Kdriêk čar (dt)	Huyện. Kdriêk ]ar Krông Ana: Huyện krông Ana.
Kdruă (dt)	Vung
Kdruêh đưm (dt)	Truyền thống. 
Kdrưh k’ang (tt)	Vẻ vang. Kdrưh k’ang êdi lyøng kahan Awa Hồ: Bộ đội cụ Hồ thật vẻ vang.
Kđah (đgt)	Gặm. Asâo kđah klang: Chó gặm xương.
Kđao (dt)	Khuyoãu chân. Kđao jơ\ng: Khuyoãu chân.
Kđăl  (đgt) 	Đóng. Kđăl [ăng bhă: đóng cửa.
Kđăl mnŭ (dt) 	Mề gà.  
Kđăm gru (đgt)	Đóng dấu. Kđăm gru knơ\ng bruă: đóng dấu cơ quan. 
Kđĕ asâo (đgt)	Kêu chó.
Kđiêng (dt)	Ngón. Kđiêng kngan: Ngón tay.
Kđi čar (tt)	Chính trị. Lăn ]ar Việt Nam mâo kđi ]ar êđăp ênang: đất nước Việt Nam có nền chính trị ổn định.
Kđŏng (tt)	1. Dỏng. Asâo kđo\ng ku groh: Con chó dỏng đuôi sủa.
	2. Cong. Blu\ kđo\ng wăt kbuê: Nói điệu cong cả môi. 
Kđông	I (dt) đồn. Đđông kahan mgang knôg la\n: đồn biên phòng.
	II (đgt) chửa (con vật).
Kđhĭt (đgt)	Nháy. Kđhyøt ală: Nháy măt.
Kđuh (dt)	I. (dt) phên. Mtih sang pơ\ng ho\ng kđuh: vách nhà đóng băôûng phên.
	Ii. (đgt) giũ. Kđuh ayûuê abăn: giũ chăn chiếu.
Kđul (dt)	Gót. Kđul jơ\ng kâo kđang: Gót chân tôi bị nẻ.
Keh 	I. (đgt) hất. Keh đue# anôk mkăn: hất đi chỗ khác.
	Ii. (tht) uoùa. Keh! Kâo myøn ih nao leh: uoùa! Tôi tưởng anh (chị) đi rồi.
Keh koh (tt)	Mâu thuón. Ayo\ng adei đăm mâo klei keh koh ôh: Anh em đừng gây sự mâu thuón.
Keh nač (tt)	Ganh tị.
Kĕ (đgt)	1. Căn. Asâo ke\  jơ\ng yûu: Chó căn chân nó. 
                                  	2. Đốt. Ke#] ke\  ba kman ruă: Muỗi đốt truyền bệnh.
Kê̆č (dt)	Muỗi.
Kê̆ñ rô (dt)	Cầu vồng. Leh hjan khăng mâo ke#YÛ rô: Sau cơn mưa thường xuất hiện cầu vồng. 
Kgă (dt)	Xà gạc. Ama mâo sa [e\ kgă: Bố có cái xà gạc.
Kgâo (dt)	Con gấu. Rông kgâo mă phyø pioh mdrao klei ruă: Nuôi gấu lấy mật để chữa bệnh.
Kgông (đgt)	Gặm
Kgŭ (đgt)	Dậy. Kâo kgu\ pyøt: Tôi thức dậy.
Kgŭ dơ̆ng (đgt)	Đứng lên.
Khan (đgt)	Kể chuyện (theo nói vần). Aê kâo thâo khan Dam Săn: eøng tôi biết kể chuyện Dam Săn.
Khă (trơü từ)	Dù. Khă dleh dlan dưn kâo ăt gyør ktưn mơh: Dù khó khăn tôi vón cố găng. 
Khă dah (trt)	Mặc dù
Khăm (yu)	Khám. Kâo ba anak kơ aê êa drao khăm: Tôi đưa con đến bác sĩ khám.
Khăng 	I.(tt) cứng. Khăng mse\ boh tâo: cứng như đá.
	Ii.(pht) thường. Tlam
Khăng yua (trt)	Thông dụng
Khăp (đgt)	1.Yêu. Khăp kơ lăn ]ar: Yêu Tổ quốc. 
                                  	2. Thích. Khăp [ơ\ng đio\: Thích ăn xôi.
Khăp h’iêng (đgt)	Yêu thương. Khăp h’iêng hdăng ayo\ng adei: Anh em yêu thương nhau.
Khăt (đgt)	Căt. Kâo nao khăt [u\k: Tôi đi căt tóc.
Khê̆č (dt)	Trung quốc.
Khil đao (dt)	Gươm đao.
Khŏ (tt)	Điên. Eùkei kho\: thăôûng điên.
Không (tt)	Tạnh. Adiê không hjan leh: Trời tạnh mưa rồi.
Khu (tt)	Rát. Jơ\ng êka mia êa drao khu snăk: Chân bị thương bôi thuốc rát lăm.
Khua (tt)	1.Trưởng. Ama H’Ran jing khua [uôn: Bố H’ Ran là trưởng làng. 
	2. Già.  Ktơr anei khua leh: Băp này già rồi.
	3. Người lãnh đạo cơ quan
Khua bi ala (dt)	Đại biểu quốc hội. 
Khua čar (dt)	Chủ tịch tỉnh.
Khua gĭt gai đaíng (dt)	Bí thư.
Khua knŭk kna (dt)	Thủ tướng Chính phủ. 
Khua lăn čar (dt)	Chủ tịch Nước. 
Khut khat (trt)	Tuyệt đối
Khua mil čhil (dt)	Tổng thống.
Khua yang (dt)	Chuôa.  
Khuôt (dt)	Cạn.
K’iăng khua gĭt gai Đảng	 
Ki (dt)	Sừng. Ki kbao: Sừng trâu.
Ki mda (dt)	Nhung
Kiă (đgt)	1. Chăn. Kiă êmô: Chăn bò. 
                                  	2. Trông. Kiă sang: Trông nhà.  
Kiă dlăng (đgt)	Trông nom. Kiă dlăng phung hđeh: Trông nom bọn trẻ.
Kiă kriê (đgt)	1. Giữ geãn. Kiă kriê jăk mnơ\ng yua mbyøt: Giữ geãn của chung.
	2. Chăm sóc. Kiă kriê đang phê: Chăm sóc vườn cà phê.
Kiă răng mblah (đgt)	Trực chiến.  
K’iêng (dt)	Hông.   
Kih (đgt)	Queôt. Kih sang: Queôt nhà.
Kjač (đgt)	 
Kjač mŭt (đgt)	Lao vào.
Kdjăt (đgt)	Giật. Kdjăt asei mlei: Giật meãnh. 
Kdjăt ñhăr	Giật thót. 
Kjăp (tt)	Chăc (vững). Sang anei dlăng kjăp êdi: Nhà này trông rất chăc.
Kjăp mră (tt)	Vững chăc.
Kjham (tt)	1.Nặng. Ruă kjham: Bệnh nặng.
	2. Trầm trọng. Klei bruă anei jing kjham leh: Sự việc này đã trở nên trầm trọng.
Kjoh (đgt)	Bẻ. Kjoh mdua: Bẻ làm đôi.
Kjhôč lăn (dt)	Mũi đất.  
Kjơ (dt)	Cái cào.
Kju  (dt)	Cây giáo. Aê kâo mâo kju: eøng tôi có cây giáo.
Kjuh (sôú từ)	Bảy. Kjuh hruê mlam: Bảy ngày đêm.
Kjŭk (đgt)	Chọc lỗ  tỉa luôa.
Kdjŏng (đgt)	Nhấc. Kdjo\ng klo\ boh tâo: Nhấc tảng đá.
Kdjô̆(đgt)	Gáy. Mnu\ kdjo#: Gà gáy.
Kdjơt (đgt)	Nhón. Aáu kdjơt jơ\ng ]iăng kơ dlông: Nó nhón chân để cho cao.
Kdjuôt (tt)	Heôo
Kkaih (dt)	Gầu (gầu tóc
Kkâo (dt)	Móng
Kkăl (tt)	Đục. Eùa krông kkăl plu\k: nước sông đục ngầu.
Kkiêng (đgt)	1. Sinh
	2. Góc
Kkiêng kngan (dt) 	Khuyoãu tay. 
Kkuh (đgt)	Chào. Sang hră kâo khăng kkuh hla kơ grăp knăm sa: Trường tôi thường chào cờ vào ngày thứ hai; Kkuh nai mtô: Chào thầy cô (giáo viên).
Kkuê (dt)	Cổ. Kâo êgah kkuê: Tôi mỏi cổ.
Kkui (đgt)	Cuôi xuống. Kâo kkui mă giê ]ih: Tôi cuôi xuống lấy buôt viết.
Kkuih (dt)	Con chuột. Kkuih bi rai guê lo\: Con chuột phá hoại bờ ruộng.
Kkuih hyăp (dt)	Chuột đồng. Kkuih hyăp [ơ\ng kđeh jăk snăk: Chuột đồng ăn rất ngon.
Kkuih nuôt (dt)	Chuột nhăt. 
Kkung (đgt)	Khiêng. Phung êkei kkung kmeh sang: đàn ông khiêng cột nhà.
Kla (tt)	Hói.  
Klah (đgt)	Tách.  
Klah čŭn(trt)	Tóm tăt. Klah ]u\n klei hriăm anei: Tóm tăt bài học này. 
Klah klap (tt)	Riêng lẻ.  
Klam (đgt)	Vác. Ayo\ng kâo klam djuh: Anh tôi vác củi.
Klang (dt)	Xương. Klang u\n: Xương heo.
Klang grưh (dt)	Xương sườn.
Klap (dt)	Con mối (mối có cánh bay rang ăn được).
Klă (tt)	Kyoä. Dlăng klă klei hrăm anei: đọc kyoä bài học này. 
Klă klơ̆ng (tt)	Rõ ràng.
Klăk jơ̆ng bê klê jơ̆ng ŭn (tng)	Yoû nói người không trung thực.
Klăm (tt)	Xui xẻo. Klăm leh yûu anăn: Nó bị xui xẻo rồi.
Klei 	I.(đgt) đào. Klei [ăng êa: đào giếng.
	Ii.(dt) 1. Dây. Amyø blei klei pui: mẹ mua dây điện. 
	2. Tiếng. Kâo hriăm klei Êđê: Tôi học tiếng Êđê. 
	3. Sự
Klei bi doh (dt)	Vệ sinh. Răng kriê klei bi doh: Giữ geãn vệ sinh.
Klei bi liê (dt)	Sự chi phí. 
